"Dist Code","Year","State Code","State Name","Dist Name","RICE HARVEST PRICE (Rs per Quintal)","PADDY HARVEST PRICE (Rs per Quintal)","WHEAT HARVEST PRICE (Rs per Quintal)","SORGHUM HARVEST PRICE (Rs per Quintal)","PEARL MILLET HARVEST PRICE (Rs per Quintal)","MAIZE HARVEST PRICE (Rs per Quintal)","FINGER MILLET HARVEST PRICE (Rs per Quintal)","BARLEY HARVEST PRICE (Rs per Quintal)","CHICKPEA HARVEST PRICE (Rs per Quintal)","PIGEONPEA HARVEST PRICE (Rs per Quintal)","GROUNDNUT HARVEST PRICE (Rs per Quintal)","SEASMUM HARVEST PRICE (Rs per Quintal)","RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal)","CASTOR HARVEST PRICE (Rs per Quintal)","LINSEED HARVEST PRICE (Rs per Quintal)","SUGARCANE GUR HARVEST PRICE (Rs per Quintal)","COTTON KAPAS HARVEST PRICE (Rs per Quintal)"
"1","1966","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","77.7","-1.0","157.5","-1.0","-1.0","172.7","87.3","-1.0"
"1","1967","14","Chhattisgarh","Durg","110.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","87.8","113.4","-1.0","125.0","-1.0","-1.0","99.5","238.1","-1.0"
"1","1968","14","Chhattisgarh","Durg","98.8","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","78.9","71.9","-1.0","125.6","-1.0","-1.0","115.6","180.7","-1.0"
"1","1969","14","Chhattisgarh","Durg","94.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","101.4","89.5","-1.0","168.1","-1.0","-1.0","157.0","95.1","-1.0"
"1","1970","14","Chhattisgarh","Durg","95.4","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","82.4","95.8","-1.0","205.3","-1.0","100.0","133.9","111.3","-1.0"
"1","1971","14","Chhattisgarh","Durg","95.9","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","92.2","99.2","-1.0","200.0","-1.0","-1.0","139.6","147.0","-1.0"
"1","1972","14","Chhattisgarh","Durg","113.6","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","120.7","149.2","-1.0","272.5","-1.0","-1.0","163.1","213.8","-1.0"
"1","1973","14","Chhattisgarh","Durg","135.9","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","195.0","152.5","-1.0","275.5","-1.0","-1.0","271.0","200.0","-1.0"
"1","1974","14","Chhattisgarh","Durg","232.8","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","177.9","166.8","-1.0","304.3","-1.0","100.0","218.6","208.6","-1.0"
"1","1975","14","Chhattisgarh","Durg","168.9","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","122.4","115.2","-1.0","254.6","-1.0","-1.0","156.1","191.5","-1.0"
"1","1976","14","Chhattisgarh","Durg","163.1","75.6","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","130.8","200.7","-1.0","300.0","-1.0","-1.0","309.5","295.0","-1.0"
"1","1977","14","Chhattisgarh","Durg","158.9","80.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","192.8","259.4","-1.0","258.2","-1.0","-1.0","244.3","193.7","-1.0"
"1","1978","14","Chhattisgarh","Durg","147.8","83.2","120.9","-1.0","-1.0","-1.0","-1.0","-1.0","183.6","240.9","-1.0","272.8","-1.0","-1.0","260.8","-1.0","-1.0"
"1","1979","14","Chhattisgarh","Durg","188.0","101.8","148.9","-1.0","-1.0","-1.0","-1.0","-1.0","207.6","238.3","-1.0","385.0","-1.0","-1.0","383.0","-1.0","-1.0"
"1","1980","14","Chhattisgarh","Durg","189.2","107.6","181.4","-1.0","-1.0","-1.0","-1.0","-1.0","320.5","261.0","-1.0","436.0","-1.0","-1.0","419.5","-1.0","-1.0"
"1","1981","14","Chhattisgarh","Durg","213.4","116.8","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","275.0","-1.0","525.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","1982","14","Chhattisgarh","Durg","232.5","129.5","-1.0","-1.0","-1.0","-1.0","130.0","-1.0","-1.0","-1.0","-1.0","600.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","1983","14","Chhattisgarh","Durg","250.0","135.0","219.4","-1.0","-1.0","-1.0","-1.0","-1.0","304.7","350.0","-1.0","-1.0","-1.0","-1.0","465.6","-1.0","-1.0"
"1","1984","14","Chhattisgarh","Durg","237.8","128.4","183.7","-1.0","-1.0","-1.0","-1.0","-1.0","397.0","304.2","-1.0","563.3","-1.0","-1.0","483.0","-1.0","-1.0"
"1","1985","14","Chhattisgarh","Durg","255.8","137.5","198.6","-1.0","-1.0","-1.0","-1.0","-1.0","395.1","316.6","-1.0","575.0","-1.0","-1.0","451.2","-1.0","-1.0"
"1","1986","14","Chhattisgarh","Durg","250.7","141.9","196.6","-1.0","-1.0","-1.0","-1.0","-1.0","310.0","450.3","-1.0","830.2","-1.0","-1.0","662.6","-1.0","-1.0"
"1","1987","14","Chhattisgarh","Durg","283.1","163.8","250.0","-1.0","-1.0","-1.0","-1.0","-1.0","383.3","604.4","-1.0","570.4","-1.0","-1.0","695.5","-1.0","-1.0"
"1","1988","14","Chhattisgarh","Durg","333.9","182.5","326.7","-1.0","-1.0","-1.0","-1.0","-1.0","575.6","496.6","-1.0","703.8","-1.0","-1.0","675.0","-1.0","-1.0"
"1","1989","14","Chhattisgarh","Durg","356.4","208.1","305.4","-1.0","-1.0","-1.0","-1.0","-1.0","630.6","587.0","-1.0","787.0","-1.0","-1.0","722.4","-1.0","-1.0"
"1","1990","14","Chhattisgarh","Durg","382.0","230.0","329.0","-1.0","-1.0","-1.0","-1.0","-1.0","602.0","858.0","-1.0","1014.0","-1.0","-1.0","978.0","-1.0","-1.0"
"1","1991","14","Chhattisgarh","Durg","453.0","221.0","384.0","-1.0","-1.0","-1.0","-1.0","-1.0","641.0","822.0","-1.0","1750.0","-1.0","-1.0","1053.0","-1.0","-1.0"
